block,first_page,last_page,offset,ff_pct,zero_pct,unique,entropy,dominant,dominant_pct,mixed_ff00_pct,abnormal_pages,erased_pages,zero_pages,reasons
305,19520,19583,39976960,0.397491455078125,0.44708251953125,256,7.998438350867046,0,0.44708251953125,0.844573974609375,64,0,0,MANY_ABNORMAL_PAGES
306,19584,19647,40108032,0.3997802734375,0.431060791015625,256,7.998685386123761,206,0.437164306640625,0.830841064453125,64,0,0,MANY_ABNORMAL_PAGES
307,19648,19711,40239104,0.399017333984375,0.47760009765625,256,7.9984617423597575,0,0.47760009765625,0.876617431640625,64,0,0,MANY_ABNORMAL_PAGES
308,19712,19775,40370176,0.415802001953125,0.43487548828125,256,7.998547940544149,159,0.4364013671875,0.850677490234375,64,0,0,MANY_ABNORMAL_PAGES
309,19776,19839,40501248,0.3692626953125,0.447845458984375,256,7.9986823238036555,0,0.447845458984375,0.817108154296875,64,0,0,MANY_ABNORMAL_PAGES
310,19840,19903,40632320,0.3570556640625,0.441741943359375,256,7.998326140708879,254,0.44708251953125,0.798797607421875,64,0,0,MANY_ABNORMAL_PAGES
311,19904,19967,40763392,0.380706787109375,0.421142578125,256,7.998561760394937,103,0.44403076171875,0.801849365234375,64,0,0,MANY_ABNORMAL_PAGES
312,19968,20031,40894464,0.39215087890625,0.4364013671875,256,7.998663714798939,167,0.4486083984375,0.82855224609375,64,0,0,MANY_ABNORMAL_PAGES
313,20032,20095,41025536,0.40740966796875,0.433349609375,256,7.998547439923287,18,0.45928955078125,0.84075927734375,64,0,0,MANY_ABNORMAL_PAGES
314,20096,20159,41156608,0.4180908203125,0.412750244140625,256,7.998643681328142,94,0.438690185546875,0.830841064453125,64,0,0,MANY_ABNORMAL_PAGES
315,20160,20223,41287680,0.405120849609375,0.44708251953125,256,7.998502690317044,0,0.44708251953125,0.852203369140625,64,0,0,MANY_ABNORMAL_PAGES
316,20224,20287,41418752,0.412750244140625,0.408935546875,256,7.998580312416703,190,0.445556640625,0.821685791015625,64,0,0,MANY_ABNORMAL_PAGES
