block,first_page,last_page,offset,ff,ff_pct,zero,zero_pct,unique,entropy,dominant,dominant_count,dominant_pct,mixed_ff00_pct,all_ff,all_zero,abnormal_pages,erased_pages,zero_pages,abnormal,reasons
135,8640,8703,17694720,523,0.399017333984375,560,0.42724609375,256,7.9986446944262335,132,579,0.441741943359375,0.826263427734375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
136,8704,8767,17825792,534,0.40740966796875,529,0.403594970703125,256,7.998612652305831,171,572,0.4364013671875,0.811004638671875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
137,8768,8831,17956864,519,0.395965576171875,523,0.399017333984375,256,7.998586150860412,182,586,0.44708251953125,0.79498291015625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
138,8832,8895,18087936,514,0.39215087890625,594,0.45318603515625,256,7.998425884233503,0,594,0.45318603515625,0.8453369140625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
139,8896,8959,18219008,521,0.397491455078125,543,0.414276123046875,256,7.9985129433941795,48,576,0.439453125,0.811767578125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
140,8960,9023,18350080,512,0.390625,582,0.44403076171875,256,7.998632979184422,0,582,0.44403076171875,0.83465576171875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
141,9024,9087,18481152,541,0.412750244140625,526,0.40130615234375,256,7.998586053102447,128,574,0.43792724609375,0.814056396484375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
142,9088,9151,18612224,508,0.3875732421875,577,0.440216064453125,256,7.998296993628457,0,577,0.440216064453125,0.827789306640625,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
143,9152,9215,18743296,547,0.417327880859375,556,0.4241943359375,256,7.998803287146942,39,571,0.435638427734375,0.841522216796875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
144,9216,9279,18874368,526,0.40130615234375,574,0.43792724609375,256,7.998421585520892,200,576,0.439453125,0.8392333984375,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
145,9280,9343,19005440,543,0.414276123046875,554,0.42266845703125,256,7.998630031238328,3,566,0.43182373046875,0.836944580078125,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
146,9344,9407,19136512,518,0.39520263671875,561,0.428009033203125,256,7.998722797646961,0,561,0.428009033203125,0.823211669921875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
147,9408,9471,19267584,491,0.374603271484375,561,0.428009033203125,256,7.9983759084806705,228,595,0.453948974609375,0.8026123046875,False,False,64,0,0,True,MANY_ABNORMAL_PAGES
